filing_number,time_filed,form_type,skeda_lines,skedb_lines,skede_lines,other_lines,total_lines
963328,10/20 11:57 PM,F3XN,164,72,0,0,236
963327,10/20 11:54 PM,F3XA,16,0,0,28,44
963326,10/20 11:51 PM,F3XN,44,18,0,19,81
963325,10/20 11:45 PM,F3XN,0,0,0,0,0
963324,10/20 11:42 PM,F3XN,0,4,0,0,4
963323,10/20 11:41 PM,F3XN,7,17,0,0,24
963322,10/20 11:39 PM,F3XN,0,0,0,1,1
963321,10/20 11:38 PM,F3XN,67,164,0,0,231
963320,10/20 11:37 PM,F3N,7,14,0,0,21
963319,10/20 11:37 PM,F3XN,1662,153,0,0,1815
963318,10/20 11:37 PM,F3XN,1,5,0,0,6
963317,10/20 11:37 PM,F3XN,1,6,0,0,7
963316,10/20 11:37 PM,F6N,16,0,0,0,16
963315,10/20 11:32 PM,F3XN,109,79,0,455,643
963314,10/20 11:24 PM,F3XN,52,102,0,9,163
963313,10/20 11:22 PM,F3XN,390,330,0,192,912
963312,10/20 11:22 PM,F6N,1,0,0,0,1
963311,10/20 11:20 PM,F3XN,2,16,0,112,130
963310,10/20 11:19 PM,F6N,1,0,0,0,1
963309,10/20 11:17 PM,F24N,0,0,2,0,2
963308,10/20 11:16 PM,F24N,0,0,154,0,154
963307,10/20 11:14 PM,F6N,1,0,0,0,1
963306,10/20 11:13 PM,F3XN,219,12,0,0,231
963305,10/20 11:11 PM,F3XN,9,30,0,0,39
963304,10/20 11:10 PM,F3XN,9,16,0,0,25
963303,10/20 11:09 PM,F3XN,116,313,0,307,736
963302,10/20 11:09 PM,F3XN,1084,83,0,24,1191
963301,10/20 11:08 PM,F3XN,1075,365,0,396,1836
963300,10/20 11:07 PM,F3XN,137,21,0,122,280
963299,10/20 11:05 PM,F6N,5,0,0,0,5
963298,10/20 11:05 PM,F6N,1,0,0,0,1
963297,10/20 11:03 PM,F3XN,121,31,0,23,175
963296,10/20 11:03 PM,F6N,10,0,0,0,10
963295,10/20 11:02 PM,F3XN,92,52,0,17,161
963294,10/20 11:00 PM,F6N,3,0,0,0,3
963293,10/20 11:00 PM,F3XN,8,2,0,0,10
963292,10/20 10:57 PM,F3XN,223,137,31,2,393
963291,10/20 10:54 PM,F3XN,1839,238,174,23,2274
963290,10/20 10:53 PM,F3XN,15,6,0,0,21
963289,10/20 10:51 PM,F3XN,105,131,0,17,253
963288,10/20 10:43 PM,F3XN,1,1,0,0,2
963287,10/20 10:43 PM,F3XN,608,306,0,23,937
963286,10/20 10:43 PM,F3XN,2,0,0,0,2
963285,10/20 10:41 PM,F6N,18,0,0,0,18
963284,10/20 10:41 PM,F6N,5,0,0,0,5
963283,10/20 10:41 PM,F3XN,0,0,0,0,0
963282,10/20 10:39 PM,F3XN,85,194,0,157,436
963281,10/20 10:37 PM,F3XN,1,0,0,0,1
963280,10/20 10:34 PM,F3XN,1,0,0,0,1
963279,10/20 10:32 PM,F3XN,73,13,0,11,97
963278,10/20 10:29 PM,F6N,9,0,0,0,9
