canonical,^P3.1|P3.0|P2.6,,^P2.4,,^P2.3,,^P2.2|P1.0,
form_type,1,1-F3X + 3 FORM TYPE,1,1-F3X + 3 FORM TYPE,1,F3X + 3 FORM TYPE,1,1-F3X + 3 FORM TYPE
filer_committee_id_number,2,2-2 FILER FEC COMMITTEE ID,2,2-2 FILER FEC COMMITTEE ID,2,2 FILER FEC COMMITTEE ID,2,2-2 FILER FEC COMMITTEE ID
committee_name,3,3-1 COMMITTEE NAME,3,3-1 COMMITTEE NAME,3,1 COMMITTEE NAME,3,3-1 COMMITTEE NAME
change_of_address,4,4-1 CHANGE OF ADDRESS,4,4-1 CHANGE OF ADDRESS,4,1 CHANGE OF ADDRESS,4,4-1 CHANGE OF ADDRESS
street_1,5,5-1 STREET 1,5,5-1 STREET 1,5,1 STREET 1,5,5-1 STREET 1
street_2,6,6-1 STREET 2,6,6-1 STREET 2,6,1 STREET 2,6,6-1 STREET 2
city,7,7-1 CITY,7,7-1 CITY,7,1 CITY,7,7-1 CITY
state,8,8-1 STATE,8,8-1 STATE,8,1 STATE,8,8-1 STATE
zip,9,9-1 ZIP,9,9-1 ZIP,9,1 ZIP,9,9-1 ZIP
report_code,10,10-4 (a) => (d) REPORT CODE,10,10-4 (a) => (d) REPORT CODE,10,4 (a) => (d) REPORT CODE,10,10-4 (a) => (d) REPORT CODE
date_of_election,11,11-4 (c) or (d) DATE OF ELECTION,11,11-4 (c) or (d) DATE OF ELECTION,11,4 (c) or (d) DATE OF ELECTION,11,11-4 (c) or (d) DATE OF ELECTION
state_of_election,12,12-4 (c) or (d) STATE OF ELECTION,12,12-4 (c) or (d) STATE OF ELECTION,12,4 (c) or (d) STATE OF ELECTION,12,12-4 (c) or (d) STATE OF ELECTION
coverage_from_date,13,13-5 COVERAGE FROM DATE,13,13-5 COVERAGE FROM DATE,13,5 COVERAGE FROM DATE,13,13-5 COVERAGE FROM DATE
coverage_through_date,14,14-5 COVERAGE THROUGH DATE,14,14-5 COVERAGE THROUGH DATE,14,5 COVERAGE THROUGH DATE,14,14-5 COVERAGE THROUGH DATE
treasurer_last_name,15,15-Botm pg 1 TREAS LAST NAME,15,15-Botm pg 1 TREAS LAST NAME,15,Botm pg 1 TREAS LAST NAME,15,15-Botm pg 1 TREAS LAST NAME
treasurer_first_name,16,16-Botm pg 1 TREAS FIRST NAME,16,16-Botm pg 1 TREAS FIRST NAME,16,Botm pg 1 TREAS FIRST NAME,16,16-Botm pg 1 TREAS FIRST NAME
treasurer_middle_name,17,17-Botm pg 1 TREAS MIDDLE NAME,17,17-Botm pg 1 TREAS MIDDLE NAME,17,Botm pg 1 TREAS MIDDLE NAME,17,17-Botm pg 1 TREAS MIDDLE NAME
treasurer_prefix,18,18-Botm pg 1 TREAS PREFIX,18,18-Botm pg 1 TREAS PREFIX,18,Botm pg 1 TREAS PREFIX,18,18-Botm pg 1 TREAS PREFIX
treasurer_suffix,19,19-Botm pg 1 TREAS SUFFIX,19,19-Botm pg 1 TREAS SUFFIX,19,Botm pg 1 TREAS SUFFIX,19,19-Botm pg 1 TREAS SUFFIX
