canonical,^P3.1|P3.0|P2.6,,^P2.4,,^P2.3,,^P2.2|P1.0,
form_type,1,1-F5 + 4 (b) FORM TYPE,1,1-F5 + 4 (b) FORM TYPE,1,F5 + 4 (b) FORM TYPE,1,1-F5 + 4 (b) FORM TYPE
filer_committee_id_number,2,2-3 FILER FEC COMMITTEE ID,2,2-3 FILER FEC COMMITTEE ID,2,3 FILER FEC COMMITTEE ID,2,2-3 FILER FEC COMMITTEE ID
organization_name,3,3-1 (a) ORGANIZATION NAME,3,3-1 (a) ORGANIZATION NAME,3,1 (a) ORGANIZATION NAME,3,3-1 (a) ORGANIZATION NAME
individual_last_name,4,4-1 (a) IND LAST NAME,4,4-1 (a) IND LAST NAME,4,1 (a) IND LAST NAME,4,4-1 (a) IND LAST NAME
individual_first_name,5,5-1 (a) IND FIRST NAME,5,5-1 (a) IND FIRST NAME,5,1 (a) IND FIRST NAME,5,5-1 (a) IND FIRST NAME
individual_middle_name,6,6-1 (a) IND MIDDLE NAME,6,6-1 (a) IND MIDDLE NAME,6,1 (a) IND MIDDLE NAME,6,6-1 (a) IND MIDDLE NAME
individual_prefix,7,7-1 (a) IND PREFIX,7,7-1 (a) IND PREFIX,7,1 (a) IND PREFIX,7,7-1 (a) IND PREFIX
individual_suffix,8,8-1 (a) IND SUFFIX,8,8-1 (a) IND SUFFIX,8,1 (a) IND SUFFIX,8,8-1 (a) IND SUFFIX
change_of_address,9,9-1 (b) CHANGE OF ADDRESS,9,9-1 (b) CHANGE OF ADDRESS,9,1 (b) CHANGE OF ADDRESS,9,9-1 (b) CHANGE OF ADDRESS
street_1,10,10-1 (b) STREET 1,10,10-1 (b) STREET 1,10,1 (b) STREET 1,10,10-1 (b) STREET 1
street_2,11,11-1 (b) STREET 2,11,11-1 (b) STREET 2,11,1 (b) STREET 2,11,11-1 (b) STREET 2
city,12,12-1 (c) CITY,12,12-1 (c) CITY,12,1 (c) CITY,12,12-1 (c) CITY
state,13,13-1 (c) STATE,13,13-1 (c) STATE,13,1 (c) STATE,13,13-1 (c) STATE
zip,14,14-1 (c) ZIP,14,14-1 (c) ZIP,14,1 (c) ZIP,14,14-1 (c) ZIP
individual_occupation,15,15-2 IND OCCUPATION,17,17-2 IND OCCUPATION,17,2 IND OCCUPATION,17,17-2 IND OCCUPATION
qualified_nonprofit,,,15,15-2 YES/NO (Qual/NON-Profit),15,2 YES/NO (Qual/NON-Profit),15,15-2 YES/NO (Qual/NON-Profit)
individual_employer,16,16-2 IND EMPLOYER,16,16-2 IND EMPLOYER,16,2 IND EMPLOYER,16,16-2 IND EMPLOYER
report_code,17,17-4 (a) REPORT CODE,18,18-4 (a) REPORT CODE,18,4 (a) REPORT CODE,18,18-4 (a) REPORT CODE
report_code,18,18-4 (a) 24-HOUR 48-HOUR CODE,19,19-4 (a) 24-HOUR 48-HOUR CODE,19,4 (a) 24-HOUR 48-HOUR CODE,19,19-4 (a) 24-HOUR 48-HOUR CODE
original_amendment_date,19,19-4(b) ORIGINAL AMENDMENT DATE,,,,,,
coverage_from_date,20,20-5 COVERAGE FROM DATE,20,20-5 COVERAGE FROM DATE,20,5 COVERAGE FROM DATE,20,20-5 COVERAGE FROM DATE
coverage_through_date,21,21-5 COVERAGE THROUGH DATE,21,21-5 COVERAGE THROUGH DATE,21,5 COVERAGE THROUGH DATE,21,21-5 COVERAGE THROUGH DATE
total_contribution,22,22-6 TOTAL CONTRIBUTION,22,22-6 TOTAL CONTRIBUTION,22,6 TOTAL CONTRIBUTION,22,22-6 TOTAL CONTRIBUTION
total_independent_expenditure,23,23-7 TOTAL INDEP. EXPEND,23,23-7 TOTAL INDEP. EXPEND,23,7 TOTAL INDEP. EXPEND,23,23-7 TOTAL INDEP. EXPEND
person_completing_last_name,24,24-Botm pg 1 IND LAST NAME (Completing Form),24,24-Botm pg 1 IND LAST NAME (Completing Form),24,Botm pg 1 IND LAST NAME (Completing Form),24,24-Botm pg 1 IND LAST NAME (Completing Form)
person_completing_first_name,25,25-Botm pg 1 IND FIRST NAME,25,25-Botm pg 1 IND FIRST NAME,25,Botm pg 1 IND FIRST NAME,25,25-Botm pg 1 IND FIRST NAME
person_completing_middle_name,26,26-Botm pg 1 IND MIDDLE NAME,26,26-Botm pg 1 IND MIDDLE NAME,26,Botm pg 1 IND MIDDLE NAME,26,26-Botm pg 1 IND MIDDLE NAME
person_completing_prefix,27,27-Botm pg 1 IND PREFIX,27,27-Botm pg 1 IND PREFIX,27,Botm pg 1 IND PREFIX,27,27-Botm pg 1 IND PREFIX
person_completing_suffix,28,28-Botm pg 1 IND SUFFIX,28,28-Botm pg 1 IND SUFFIX,28,Botm pg 1 IND SUFFIX,28,28-Botm pg 1 IND SUFFIX
date_signed,29,29-Botm pg 1 IND DATE,29,29-Botm pg 1 IND DATE,29,Botm pg 1 IND DATE,29,29-Botm pg 1 IND DATE
image_number_of_page,30,30-1st PageLeft Marg BEGINNING IMAGE NUMBER,30,30-1st PageLeft Marg BEGINNING IMAGE NUMBER,30,1st PageLeft Marg BEGINNING IMAGE NUMBER,30,30-1st PageLeft Marg BEGINNING IMAGE NUMBER
