canonical,^P3.1|P3.0|P2.6,,^P2.4,,^P2.3,,^P2.2|P1.0,
form_type,1,1-SA + Line #Top rt Box FORM TYPE,1,1-SA + Line #Top rt Box FORM TYPE,1,SA + Line #Top rt Box FORM TYPE,1,1-SA + Line #Top rt Box FORM TYPE
filer_committee_id_number,2,2-2 pg 1 FILER FEC COMMITTEE ID,2,2-2 pg 1 FILER FEC COMMITTEE ID,2,2 pg 1 FILER FEC COMMITTEE ID,2,2-2 pg 1 FILER FEC COMMITTEE ID
contributor_organization_name,3,3- CONTRIB ORGANIZATION NAME,3,3- CONTRIB ORGANIZATION NAME,3, CONTRIB ORGANIZATION NAME,3,3- CONTRIB ORGANIZATION NAME
contributor_last_name,4,4- CONTRIBUTOR LAST NAME,4,4- CONTRIBUTOR LAST NAME,4, CONTRIBUTOR LAST NAME,4,4- CONTRIBUTOR LAST NAME
contributor_first_name,5,5- CONTRIBUTOR FIRST NAME,5,5- CONTRIBUTOR FIRST NAME,5, CONTRIBUTOR FIRST NAME,5,5- CONTRIBUTOR FIRST NAME
contributor_middle_name,6,6- CONTRIBUTOR MIDDLE NAME,6,6- CONTRIBUTOR MIDDLE NAME,6, CONTRIBUTOR MIDDLE NAME,6,6- CONTRIBUTOR MIDDLE NAME
contributor_prefix,7,7- CONTRIBUTOR PREFIX,7,7- CONTRIBUTOR PREFIX,7, CONTRIBUTOR PREFIX,7,7- CONTRIBUTOR PREFIX
contributor_suffix,8,8- CONTRIBUTOR SUFFIX,8,8- CONTRIBUTOR SUFFIX,8, CONTRIBUTOR SUFFIX,8,8- CONTRIBUTOR SUFFIX
contributor_street_1,9,9- STREET 1,9,9- STREET 1,9, STREET 1,9,9- STREET 1
contributor_street_2,10,10- STREET 2,10,10- STREET 2,10, STREET 2,10,10- STREET 2
contributor_city,11,11- CITY,11,11- CITY,11, CITY,11,11- CITY
contributor_state,12,12- STATE,12,12- STATE,12, STATE,12,12- STATE
contributor_zip,13,13- ZIP,13,13- ZIP,13, ZIP,13,13- ZIP
contribution_date,14,14- DATE RECEIVED,14,14- DATE RECEIVED,14, DATE RECEIVED,14,14- DATE RECEIVED
donor_committee_fec_id,15,15- FEC COMMITTEE ID NUMBER,15,15- FEC COMMITTEE ID NUMBER,15, FEC COMMITTEE ID NUMBER,15,15- FEC COMMITTEE ID NUMBER
contributor_employer,16,16- IND EMPLOYER,16,16- IND EMPLOYER,16, IND EMPLOYER,16,16- IND EMPLOYER
contributor_occupation,17,17- IND OCCUPATION,17,17- IND OCCUPATION,17, IND OCCUPATION,17,17- IND OCCUPATION
election_code,18,18- ITEM ELECT CODE,18,18- ITEM ELECT CODE,18, ITEM ELECT CODE,18,18- ITEM ELECT CODE
election_other_description,19,19- ITEM ELECT OTHER,19,19- ITEM ELECT OTHER,19, ITEM ELECT OTHER,19,19- ITEM ELECT OTHER
contribution_aggregate,20,20- AGGREGATE Y-T-D {F3L Semi-annual Bundled},20,20- AGGREGATE Y-T-D,20, AGGREGATE Y-T-D,20,20- AGGREGATE Y-T-D
contribution_amount,21,21- AMOUNT RECEIVED {F3L Bundled},21,21- AMOUNT RECEIVED,21, AMOUNT RECEIVED,21,21- AMOUNT RECEIVED
memo_text_description,22,22- MEMO TEXT/DESCRIPTION,22,22- MEMO TEXT/DESCRIPTION,22, MEMO TEXT/DESCRIPTION,22,22- MEMO TEXT/DESCRIPTION
increased_limit,,,23,23- INCREASED LIMIT,23, INCREASED LIMIT,23,23- INCREASED LIMIT
image_number_of_page,23,23-Corrsp PageLeft Marg IMAGE NUMBER (of page),24,24-Corrsp PageLeft Marg IMAGE NUMBER (of page),24,Corrsp PageLeft Marg IMAGE NUMBER (of page),24,24-Corrsp PageLeft Marg IMAGE NUMBER (of page)
