canonical,^P3.1|P3.0|P2.6,,^P2.4,,^P2.3,,^P2.2|P1.0,
form_type,1,1-CODED FORM TYPE,1,1-CODED FORM TYPE,1,CODED FORM TYPE,1,1-CODED FORM TYPE
filer_committee_id_number,2,2-2 pg 1 FILER FEC COMMITTEE ID,2,2-2 pg 1 FILER FEC COMMITTEE ID,2,2 pg 1 FILER FEC COMMITTEE ID,2,2-2 pg 1 FILER FEC COMMITTEE ID
receipt_line_number,3,3-Top Right RECEIPT LINE NUMBER,3,3-Top Right RECEIPT LINE NUMBER,3,Top Right RECEIPT LINE NUMBER,3,3-Top Right RECEIPT LINE NUMBER
lender_name,4,4- LOAN ORGANIZATION NAME,4,4- LOAN ORGANIZATION NAME,4, LOAN ORGANIZATION NAME,4,4- LOAN ORGANIZATION NAME
lender_last_name,5,5- LOAN LAST NAME,5,5- LOAN LAST NAME,5, LOAN LAST NAME,5,5- LOAN LAST NAME
lender_first_name,6,6- LOAN FIRST NAME,6,6- LOAN FIRST NAME,6, LOAN FIRST NAME,6,6- LOAN FIRST NAME
lender_middle_name,7,7- LOAN MIDDLE NAME,7,7- LOAN MIDDLE NAME,7, LOAN MIDDLE NAME,7,7- LOAN MIDDLE NAME
lender_prefix,8,8- LOAN PREFIX,8,8- LOAN PREFIX,8, LOAN PREFIX,8,8- LOAN PREFIX
lender_suffix,9,9- LOAN SUFFIX,9,9- LOAN SUFFIX,9, LOAN SUFFIX,9,9- LOAN SUFFIX
lender_street_1,10,10- STREET 1,10,10- STREET 1,10, STREET 1,10,10- STREET 1
lender_street_2,11,11- STREET 2,11,11- STREET 2,11, STREET 2,11,11- STREET 2
lender_city,12,12- CITY,12,12- CITY,12, CITY,12,12- CITY
lender_state,13,13- STATE,13,13- STATE,13, STATE,13,13- STATE
lender_zip,14,14- ZIP,14,14- ZIP,14, ZIP,14,14- ZIP
election_code,15,15- ELECTION ,15,15- ELECTION ,15, ELECTION ,15,15- ELECTION 
election_other_description,16,16- ELECTION DESCRIPTION,16,16- ELECTION DESCRIPTION,16, ELECTION DESCRIPTION,16,16- ELECTION DESCRIPTION
loan_amount_original,17,17- ORIG. AMT OF LOAN,17,17- ORIG. AMT OF LOAN,17, ORIG. AMT OF LOAN,17,17- ORIG. AMT OF LOAN
loan_payment_to_date,18,18- PAYMENT TO DATE,18,18- PAYMENT TO DATE,18, PAYMENT TO DATE,18,18- PAYMENT TO DATE
loan_balance,19,19- LOAN BALANCE,19,19- LOAN BALANCE,19, LOAN BALANCE,19,19- LOAN BALANCE
date_incurred,20,20- DATE INCURRED,20,20- DATE INCURRED,20, DATE INCURRED,20,20- DATE INCURRED
loan_incurred_date_terms,21,21- DUE DATE TERMS,21,21- DUE DATE TERMS,21, DUE DATE TERMS,21,21- DUE DATE TERMS
loan_interest_rate_terms,22,22- PCT RATE TERMS,22,22- PCT RATE TERMS,22, PCT RATE TERMS,22,22- PCT RATE TERMS
secured,23,23- SECURED YESNO,23,23- SECURED YESNO,23, SECURED YESNO,23,23- SECURED YESNO
memo_text_description,24,24- MEMO TEXT/DESCRIPTION,24,24- MEMO TEXT/DESCRIPTION,,,,
image_number_of_page,25,25-Corrsp PageLeft Marg IMAGE NUMBER (of page),24,24-Corrsp PageLeft Marg IMAGE NUMBER (of page),24,Corrsp PageLeft Marg IMAGE NUMBER (of page),24,24-Corrsp PageLeft Marg IMAGE NUMBER (of page)
