canonical,^P3.1|P3.0|P2.6,,^P2.4,,^P2.3,,^P2.2|P1.0,
form_type,1,1-SE FORM TYPE,1,1-SE FORM TYPE,1,SE FORM TYPE,1,1-SE FORM TYPE
filer_committee_id_number,2,2-2 pg 1 orTop rt Box FILER FEC COMMITTEE ID,2,2-2 pg 1 orTop rt Box FILER FEC COMMITTEE ID,2,2 pg 1 orTop rt Box FILER FEC COMMITTEE ID,2,2-2 pg 1 orTop rt Box FILER FEC COMMITTEE ID
payee_organization_name,3,3- PAYEE NAME (ORGANIZATION),3,3- PAYEE NAME (ORGANIZATION),3, PAYEE NAME (ORGANIZATION),3,3- PAYEE NAME (ORGANIZATION)
payee_last_name,4,4- PAYEE LAST NAME,4,4- PAYEE LAST NAME,4, PAYEE LAST NAME,4,4- PAYEE LAST NAME
payee_first_name,5,5- PAYEE FIRST NAME,5,5- PAYEE FIRST NAME,5, PAYEE FIRST NAME,5,5- PAYEE FIRST NAME
payee_middle_name,6,6- PAYEE MIDDLE NAME,6,6- PAYEE MIDDLE NAME,6, PAYEE MIDDLE NAME,6,6- PAYEE MIDDLE NAME
payee_prefix,7,7- PAYEE PREFIX,7,7- PAYEE PREFIX,7, PAYEE PREFIX,7,7- PAYEE PREFIX
payee_suffix,8,8- PAYEE SUFFIX,8,8- PAYEE SUFFIX,8, PAYEE SUFFIX,8,8- PAYEE SUFFIX
payee_street_1,9,9- STREET 1,9,9- STREET 1,9, STREET 1,9,9- STREET 1
payee_street_2,10,10- STREET 2,10,10- STREET 2,10, STREET 2,10,10- STREET 2
payee_city,11,11- CITY,11,11- CITY,11, CITY,11,11- CITY
payee_state,12,12- STATE,12,12- STATE,12, STATE,12,12- STATE
payee_zip,13,13- ZIP,13,13- ZIP,13, ZIP,13,13- ZIP
date,,,14,14- DATE,14, DATE,14,14- DATE
dissemination_date,14,14- DISSEMINATION DATE,,,,,,
expenditure_amount,15,15- AMOUNT,15,15- AMOUNT,15, AMOUNT,15,15- AMOUNT
expenditure_purpose_descrip,17,17- PURPOSE DESCRIPTION,16,16- PURPOSE DESCRIPTION,16, PURPOSE DESCRIPTION,16,16- PURPOSE DESCRIPTION
dissemination_date,16,16- DISBURSEMENT DATE,,,,,,
expenditure_purpose_code,18,18- CATEGORY CODE,17,17- CATEGORY CODE,17, CATEGORY CODE,17,17- CATEGORY CODE
candidate_last_name,19,19- SUPPORT/OPPOSE LAST NAME,18,18- SUPPORT/OPPOSE LAST NAME,18, SUPPORT/OPPOSE LAST NAME,18,18- SUPPORT/OPPOSE LAST NAME
candidate_first_name,20,20- SUPPORT/OPPOSE FIRST NAME,19,19- SUPPORT/OPPOSE FIRST NAME,19, SUPPORT/OPPOSE FIRST NAME,19,19- SUPPORT/OPPOSE FIRST NAME
candidate_middle_name,21,21- SUPPORT/OPPOSE MIDDLE NAME,20,20- SUPPORT/OPPOSE MIDDLE NAME,20, SUPPORT/OPPOSE MIDDLE NAME,20,20- SUPPORT/OPPOSE MIDDLE NAME
candidate_prefix,22,22- SUPPORT/OPPOSE PREFIX,21,21- SUPPORT/OPPOSE PREFIX,21, SUPPORT/OPPOSE PREFIX,21,21- SUPPORT/OPPOSE PREFIX
candidate_suffix,23,23- SUPPORT/OPPOSE SUFFIX,22,22- SUPPORT/OPPOSE SUFFIX,22, SUPPORT/OPPOSE SUFFIX,22,22- SUPPORT/OPPOSE SUFFIX
candidate_office,24,24- SUPPORT/OPPOSE CAN OFFICE,23,23- SUPPORT/OPPOSE CAN OFFICE,23, SUPPORT/OPPOSE CAN OFFICE,23,23- SUPPORT/OPPOSE CAN OFFICE
candidate_state,26,26- SUPPORT/OPPOSE CAN STATE,24,24- SUPPORT/OPPOSE CAN STATE,24, SUPPORT/OPPOSE CAN STATE,24,24- SUPPORT/OPPOSE CAN STATE
candidate_district,25,25- SUPPORT/OPPOSE CAN DIST,25,25- SUPPORT/OPPOSE CAN DIST,25, SUPPORT/OPPOSE CAN DIST,25,25- SUPPORT/OPPOSE CAN DIST
calendar_y_t_d_per_election_office,28,28- CALENDAR YTD - OFFICE SOUGHT,27,27- CALENDAR YTD - OFFICE SOUGHT,27, CALENDAR YTD - OFFICE SOUGHT,27,27- CALENDAR YTD - OFFICE SOUGHT
election_code,29,29- ITEM ELECT CODE,28,28- ITEM ELECT CODE,28, ITEM ELECT CODE,28,28- ITEM ELECT CODE
election_other_description,30,30- ITEM ELECT OTHER,29,29- ITEM ELECT OTHER,29, ITEM ELECT OTHER,29,29- ITEM ELECT OTHER
completing_last_name,31,31-Botm pg IND LAST NAME,30,30-Botm pg IND LAST NAME,30,Botm pg IND LAST NAME,30,30-Botm pg IND LAST NAME
completing_first_name,32,32-Botm pg IND FIRST NAME,31,31-Botm pg IND FIRST NAME,31,Botm pg IND FIRST NAME,31,31-Botm pg IND FIRST NAME
completing_middle_name,33,33-Botm pg IND MIDDLE NAME,32,32-Botm pg IND MIDDLE NAME,32,Botm pg IND MIDDLE NAME,32,32-Botm pg IND MIDDLE NAME
completing_prefix,34,34-Botm pg IND PREFIX,33,33-Botm pg IND PREFIX,33,Botm pg IND PREFIX,33,33-Botm pg IND PREFIX
completing_suffix,35,35-Botm pg IND SUFFIX,34,34-Botm pg IND SUFFIX,34,Botm pg IND SUFFIX,34,34-Botm pg IND SUFFIX
date_signed,36,36-Botm pg IND DATE,35,35-Botm pg IND DATE,35,Botm pg IND DATE,35,35-Botm pg IND DATE
image_number_of_page,37,37-Corrsp PageLeft Marg IMAGE NUMBER (of page),36,36-Corrsp PageLeft Marg IMAGE NUMBER (of page),36,Corrsp PageLeft Marg IMAGE NUMBER (of page),36,36-Corrsp PageLeft Marg IMAGE NUMBER (of page)
